,Term,StatedMonthlyIncome,LoanOriginalAmount,BorrowerAPR
0,36,3083.333333,9425,0.16516
1,36,6125.0,10000,0.12016
2,36,2083.333333,3001,0.28269
3,36,2875.0,10000,0.12528
4,36,9583.333333,15000,0.24614
5,60,8333.333333,15000,0.15425
6,36,2083.333333,3000,0.31032
7,36,3355.75,10000,0.23939
8,36,3333.333333,10000,0.0762
9,36,3333.333333,10000,0.0762
10,60,7500.0,13500,0.27462
11,36,1666.666667,1000,0.15033
12,36,2416.666667,4000,0.17969
13,36,5833.333333,8500,0.13138
14,60,10833.333333,19330,0.11695
15,36,5500.0,4000,0.35797
16,60,8291.666667,4000,0.30748
17,36,5833.333333,10000,0.13202
18,36,6250.0,15000,0.12528
19,60,3075.0,6500,0.24754
20,36,5166.666667,14000,0.16732
21,36,3750.0,3000,0.21488
22,36,118.333333,4000,0.35356
23,36,2500.0,2000,0.28032
24,36,2333.333333,4000,0.19859
25,36,6974.0,4000,0.30182
26,60,3885.916667,4000,0.30748
27,36,6666.666667,4000,0.11296
28,36,3600.0,10000,0.20268
29,36,10416.666667,35000,0.15223
30,36,3750.0,10000,0.12782
31,36,2250.0,2000,0.35797
32,36,7000.0,25000,0.16324
33,36,13083.333333,16000,0.08191
34,36,4058.333333,10000,0.22966
35,36,3833.333333,9000,0.19108
36,36,8750.0,10000,0.32446
37,36,3333.333333,5000,0.28544
38,36,6000.0,7000,0.0893
39,36,9583.333333,10000,0.15211
40,60,12750.0,15000,0.1963
41,60,9000.0,13000,0.23318
42,36,416.666667,1500,0.303
43,36,4333.333333,5000,0.2129
44,36,8916.666667,16000,0.21025
45,60,16000.0,25000,0.13227
46,36,3166.666667,4000,0.1717
47,36,5416.666667,15000,0.15833
48,60,14583.333333,15000,0.17522
49,60,7458.333333,25000,0.11695
50,60,7916.666667,10000,0.23984
51,36,4853.333333,2500,0.202
52,36,8166.666667,7000,0.14348
53,36,4056.0,3000,0.31032
54,60,10000.0,18000,0.20931
55,36,3416.666667,10000,0.17601
56,36,4734.333333,15000,0.22415
57,36,9166.666667,2000,0.29394
58,60,4666.666667,8000,0.17522
59,36,2750.0,7000,0.16717
60,60,7500.0,25000,0.19323
61,36,7108.333333,2000,0.16324
62,36,3891.666667,23500,0.23748
63,36,7500.0,6000,0.29776
64,36,3166.666667,5000,0.30899
65,36,4666.666667,15000,0.19744
66,36,860.0,1000,0.16802
67,12,4777.0,3000,0.35843
68,36,2750.0,1000,0.21554
69,60,2700.0,9000,0.13636
70,36,4500.0,10000,0.24246
71,36,2916.666667,2774,0.35797
72,36,8333.333333,4500,0.2951
73,36,6000.0,4000,0.26528
74,36,5314.25,2500,0.35643
75,36,4750.0,4000,0.32538
76,36,8583.333333,2200,0.25861
77,36,6466.666667,5600,0.13109
78,36,0.0,4800,0.18454
79,36,7500.0,22500,0.24246
80,36,1061.5,4000,0.27776
81,60,10000.0,25000,0.12216
82,36,4166.666667,4000,0.33286
83,36,3250.0,4000,0.33553
84,60,5083.333333,20000,0.22283
85,60,2916.666667,10000,0.21166
86,36,5416.666667,4500,0.22773
87,36,3333.333333,4000,0.33973
88,36,6250.0,4000,0.35643
89,36,7083.333333,3500,0.21372
90,36,1833.333333,5000,0.19178
91,36,2250.0,3500,0.35858
92,36,10833.333333,2300,0.08292
93,60,5416.666667,7000,0.27462
94,36,5196.25,4000,0.35797
95,36,14833.333333,20000,0.12691
96,60,2583.333333,15000,0.23718
97,36,1500.0,2000,0.23121
98,36,6000.0,4000,0.17151
99,60,3750.0,10000,0.10878
100,36,0.0,4000,0.35356
101,36,7416.666667,2932,0.20421
102,36,15000.0,10000,0.15529
103,36,5000.0,15000,0.26681
104,36,4916.666667,15000,0.19859
105,36,2666.666667,2000,0.30532
106,36,4699.0,10000,0.19088
107,36,2833.333333,4000,0.35797
108,36,0.0,14000,0.2832
109,36,5833.333333,2000,0.14476
110,36,4666.666667,3000,0.34631
111,36,3000.0,4000,0.2837
112,36,2583.333333,4000,0.35797
113,36,4166.666667,3000,0.30564
114,36,7083.333333,13400,0.16727
115,60,4490.833333,2000,0.2214
116,60,7666.666667,15000,0.19988
117,36,2500.0,2000,0.10235
118,36,4583.333333,6000,0.17359
119,36,6083.333333,15000,0.22108
120,60,3208.5,10000,0.18913
121,36,6250.0,4000,0.15428
122,36,1666.666667,1000,0.08718
123,36,2293.333333,12000,0.13223
124,60,7916.666667,15000,0.20081
125,36,0.0,5000,0.35643
126,36,4333.333333,14000,0.13799
127,36,2946.666667,2551,0.29743
128,36,2916.666667,1000,0.18824
129,36,3000.0,10000,0.28032
